The SAS System                                                                       21:11 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
      37 | 150317 | 104886 | 255203
         |   0.10 |   0.07 |   0.18
         |  58.90 |  41.10 |
         |   0.11 |   0.85 |
---------+--------+--------+
      38 | 274463 | 302507 | 576970
         |   0.19 |   0.21 |   0.40
         |  47.57 |  52.43 |
         |   0.21 |   2.46 |
---------+--------+--------+
Total     1.311E8  1.231E7  1.434E8
            91.42     8.58   100.00
